Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Best Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
28;21101134733;"iMeta";journal;"2770596X, 27705986";"John Wiley and Sons Inc";Yes;No;6,223;Q1;28;103;128;4811;2910;88;22,73;46,71;34,47;0;30;United States;Northern America;"John Wiley and Sons Inc";"2022-2025";"Biotechnology (Q1); Microbiology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
29;21101142543;"Nano Research Energy";journal;"27910091, 27908119";"Tsinghua University Press";Yes;Yes;6,160;Q1;40;46;81;3942;1888;77;23,31;85,70;33,08;0;30;China;Asiatic Region;"Tsinghua University Press";"2022-2024";"Chemistry (miscellaneous) (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)";"Chemistry; Energy; Materials Science"
30;21101007236;"Nature Machine Intelligence";journal;"25225839";"Springer International Publishing";Yes;No;5,876;Q1;94;177;484;9104;9769;353;18,44;51,44;27,87;2;20;Switzerland;Western Europe;"Springer International Publishing";"2019-2025";"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Vision and Pattern Recognition (Q1); Human-Computer Interaction (Q1); Software (Q1)";"Computer Science"
31;21100265444;"The Lancet Global Health";journal;"2572116X, 2214109X";"Elsevier Ltd";Yes;No;5,870;Q1;153;360;1146;7621;7722;460;6,75;21,17;39,14;0;214;United Kingdom;Western Europe;"Elsevier Ltd";"2013-2025";"Medicine (miscellaneous) (Q1)";"Medicine"
32;24769;"Materials Today";journal;"13697021, 18734103";"Elsevier B.V.";Yes;No;5,755;Q1;244;185;508;22793;12052;504;20,54;123,21;31,95;0;77;Netherlands;Western Europe;"Elsevier B.V.";"1999, 2002-2025";"Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)";"Engineering; Materials Science; Physics and Astronomy"
33;19136;"Annals of the Rheumatic Diseases";journal;"00034967, 14682060";"Elsevier B.V.";Yes;No;5,731;Q1;300;182;1349;7441;9988;617;7,66;40,88;45,02;4;32;United Kingdom;Western Europe;"Elsevier B.V.";"1945-1948, 1950-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology (Q1); Immunology and Allergy (Q1); Rheumatology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine"
34;21307;"Management Science";journal;"00251909, 15265501";"INFORMS Institute for Operations Research and the Management Sciences";Yes;No;5,720;Q1;303;446;1214;28122;8863;1206;6,83;63,05;27,62;55;109;United States;Northern America;"INFORMS Institute for Operations Research and the Management Sciences";"1969-2025";"Management Science and Operations Research (Q1); Strategy and Management (Q1)";"Business, Management and Accounting; Decision Sciences"
35;40944;"Genome Biology";journal;"1474760X, 14747596";"BioMed Central Ltd";Yes;No;5,710;Q1;319;316;888;22841;9289;858;9,04;72,28;39,18;2;73;United Kingdom;Western Europe;"BioMed Central Ltd";"2000-2025";"Cell Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
36;21101045745;"Carbon Energy";journal;"26379368";"John Wiley &amp; Sons Inc.";Yes;No;5,701;Q1;73;196;243;17506;5885;243;25,28;89,32;32,35;0;133;United States;Northern America;"John Wiley &amp; Sons Inc.";"2019-2025";"Energy (miscellaneous) (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)";"Energy; Materials Science"
37;21101070988;"InfoMat";journal;"25673165";"John Wiley and Sons Ltd";Yes;No;5,683;Q1;86;105;242;9472;5304;241;22,77;90,21;31,46;0;30;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2019-2025";"Electronic, Optical and Magnetic Materials (Q1); Materials Chemistry (Q1); Materials Science (miscellaneous) (Q1); Surfaces, Coatings and Films (Q1)";"Materials Science"
38;22680;"Journal of the American Chemical Society";journal;"15205126, 00027863";"American Chemical Society";Yes;No;5,554;Q1;734;3696;7857;219179;118656;7845;15,01;59,30;30,90;1;774;United States;Northern America;"American Chemical Society";"1879-2025";"Biochemistry (Q1); Catalysis (Q1); Chemistry (miscellaneous) (Q1); Colloid and Surface Chemistry (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
39;5700191214;"Molecular Neurodegeneration";journal;"17501326";"BioMed Central Ltd";Yes;No;5,488;Q1;126;93;247;8329;3598;230;13,85;89,56;41,65;0;8;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2025";"Cellular and Molecular Neuroscience (Q1); Molecular Biology (Q1); Neurology (clinical) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Neuroscience"
40;19600166320;"Protein and Cell";journal;"16748018, 1674800X";"Oxford University Press";Yes;No;5,392;Q1;104;63;248;3623;3057;151;7,91;57,51;45,56;0;18;United Kingdom;Western Europe;"Oxford University Press";"2010-2025";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
41;21101081601;"PRX Quantum";journal;"26913399";"American Physical Society";Yes;No;5,341;Q1;62;242;644;20656;7957;641;11,12;85,36;16,24;0;1;United States;Northern America;"American Physical Society";"2020-2025";"Applied Mathematics (Q1); Computer Science (miscellaneous) (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mathematical Physics (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Computer Science; Engineering; Materials Science; Mathematics; Physics and Astronomy"
42;21100420802;"GigaScience";journal;"2047217X";"Oxford University Press";Yes;No;5,314;Q1;98;118;364;8624;4334;364;3,65;73,08;40,60;0;43;United Kingdom;Western Europe;"Oxford University Press";"2012-2025";"Computer Science Applications (Q1); Health Informatics (Q1)";"Computer Science; Medicine"
43;21101041613;"The Lancet Microbe";journal;"26665247";"Elsevier Ltd";Yes;No;5,262;Q1;53;213;495;5726;3752;234;7,99;26,88;50,93;0;117;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2025";"Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1); Virology (Q1)";"Immunology and Microbiology; Medicine"
44;21101074919;"Computers and Education: Artificial Intelligence";journal;"2666920X";"Elsevier B.V.";Yes;No;5,217;Q1;51;140;180;9490;5897;179;30,12;67,79;38,94;2;44;Netherlands;Western Europe;"Elsevier B.V.";"2020-2025";"Artificial Intelligence (Q1); Computer Science Applications (Q1); Education (Q1)";"Computer Science; Social Sciences"
45;21101041612;"The Lancet Healthy Longevity";journal;"26667568";"Elsevier Ltd";Yes;No;5,166;Q1;43;142;451;3911;3108;192;6,01;27,54;51,19;0;41;United Kingdom;Western Europe;"Elsevier Ltd";"2020-2025";"Family Practice (Q1); Geriatrics and Gerontology (Q1); Health (social science) (Q1); Psychiatry and Mental Health (Q1)";"Medicine; Social Sciences"
46;21100205926;"Blood Cancer Journal";journal;"20445385";"Springer Nature";Yes;No;5,139;Q1;85;220;549;7019;4328;308;6,17;31,90;43,47;0;103;United Kingdom;Western Europe;"Springer Nature";"2011-2025";"Hematology (Q1); Oncology (Q1)";"Medicine"
47;21101118502;"Advanced Powder Materials";journal;"2772834X";"KeAi Communications Co.";Yes;No;5,100;Q1;40;56;84;5217;2082;82;24,79;93,16;31,07;0;30;China;Asiatic Region;"KeAi Communications Co.";"2022-2025";"Catalysis (Q1); Ceramics and Composites (Q1); Energy (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1); Metals and Alloys (Q1); Surfaces, Coatings and Films (Q1)";"Chemical Engineering; Energy; Materials Science"
48;21100228540;"JAMA Pediatrics";journal;"21686211, 21686203";"American Medical Association";Yes;No;5,085;Q1;231;347;1086;7686;6608;391;5,85;22,15;57,52;8;113;United States;Northern America;"American Medical Association";"2013-2025";"Pediatrics, Perinatology and Child Health (Q1)";"Medicine"
49;19700175140;"Genome Medicine";journal;"1756994X";"BioMed Central Ltd";Yes;No;5,078;Q1;133;152;439;10707;4914;432;10,74;70,44;46,82;2;98;United Kingdom;Western Europe;"BioMed Central Ltd";"2009-2025";"Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1); Molecular Medicine (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
50;21100278313;"Light: Science and Applications";journal;"20477538";"Nature Publishing Group";Yes;No;5,018;Q1;174;314;841;16437;14909;767;16,24;52,35;28,30;0;32;United Kingdom;Western Europe;"Nature Publishing Group";"2012-2025";"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Materials Science; Physics and Astronomy"
51;14719;"Intensive Care Medicine";journal;"14321238, 03424642";"Springer Science and Business Media Deutschland GmbH";Yes;No;4,999;Q1;246;418;936;8590;6088;312;5,15;20,55;41,04;2;66;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1977-2025";"Critical Care and Intensive Care Medicine (Q1)";"Medicine"
52;17435;"EMBO Journal";journal;"02614189, 14602075";"Springer Science and Business Media Deutschland GmbH";Yes;No;4,821;Q1;441;296;913;20462;7991;841;7,14;69,13;41,88;1;68;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"1982-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1); Neuroscience (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Neuroscience"
53;4700152228;"Molecular Systems Biology";journal;"17444292";"Springer Science and Business Media Deutschland GmbH";Yes;No;4,783;Q1;178;73;207;5224;1661;194;7,15;71,56;41,33;0;20;United Kingdom;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2005-2025";"Agricultural and Biological Sciences (miscellaneous) (Q1); Applied Mathematics (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Computational Theory and Mathematics (Q1); Immunology and Microbiology (miscellaneous)  (Q1); Information Systems (Q1); Medicine (miscellaneous) (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Computer Science; Immunology and Microbiology; Mathematics; Medicine"
54;21101060200;"Advanced Photonics";journal;"25775421";"SPIE";Yes;No;4,777;Q1;55;65;165;3405;2454;127;13,90;52,38;26,95;0;4;United States;Northern America;"SPIE";"2019-2024";"Atomic and Molecular Physics, and Optics (Q1); Biomedical Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)";"Engineering; Materials Science; Physics and Astronomy"
55;19700182758;"Nature Communications";journal;"20411723";"Nature Research";Yes;No;4,761;Q1;577;10578;22884;671872;356776;22478;14,63;63,52;37,39;89;3066;United Kingdom;Western Europe;"Nature Research";"2010-2025";"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Physics and Astronomy (miscellaneous) (Q1)";"Biochemistry, Genetics and Molecular Biology; Chemistry; Physics and Astronomy"
56;15870;"Journal of Clinical Investigation";journal;"00219738, 15588238";"American Society for Clinical Investigation";Yes;No;4,721;Q1;558;651;1688;34251;17543;1602;9,85;52,61;43,25;0;309;United States;Northern America;"American Society for Clinical Investigation";"1945-2025";"Medicine (miscellaneous) (Q1)";"Medicine"
57;21100797856;"Journal of Extracellular Vesicles";journal;"20013078";"John Wiley &amp; Sons Inc.";Yes;No;4,524;Q1;126;145;311;9503;5079;296;13,60;65,54;43,54;0;57;United States;Northern America;"John Wiley &amp; Sons Inc.";"2012-2025";"Cell Biology (Q1); Histology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
58;21101091924;"PhotoniX";journal;"26621991";"Springer International Publishing";Yes;No;4,514;Q1;41;42;87;2642;1555;87;16,98;62,90;29,50;0;8;Switzerland;Western Europe;"Springer International Publishing";"2020-2025";"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Engineering (miscellaneous) (Q1)";"Engineering; Physics and Astronomy"
59;5700191210;"Implementation Science";journal;"17485908";"BioMed Central Ltd";Yes;No;4,491;Q1;157;77;255;4755;2863;245;12,00;61,75;65,06;2;35;United Kingdom;Western Europe;"BioMed Central Ltd";"2006-2025";"Health Informatics (Q1); Health Policy (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
60;21100255526;"Quantitative Economics";journal;"17597323, 17597331";"Wiley-Blackwell";Yes;No;4,438;Q1;39;27;128;1335;341;127;2,24;49,44;19,70;0;10;United States;Northern America;"Wiley-Blackwell";"2010-2025";"Economics and Econometrics (Q1)";"Economics, Econometrics and Finance"
61;21100457028;"Science Advances";journal;"23752548";"American Association for the Advancement of Science";Yes;No;4,324;Q1;288;2293;6354;159124;80733;6329;12,06;69,40;35,19;23;597;United States;Northern America;"American Association for the Advancement of Science";"2015-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
62;144840;"PLoS Medicine";journal;"15491277, 15491676";"Public Library of Science";Yes;No;4,279;Q1;289;158;714;7301;7147;700;8,71;46,21;47,37;8;118;United States;Northern America;"Public Library of Science";"2004-2025";"Biochemistry (Q1); Biotechnology (Q1); Cell Biology (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q1)";"Biochemistry, Genetics and Molecular Biology; Medicine"
63;21101188438;"Exploration";journal;"27662098, 27668509";"John Wiley and Sons Inc";Yes;No;4,231;Q1;42;79;155;10000;3072;153;19,31;126,58;36,68;0;39;China;Asiatic Region;"John Wiley and Sons Inc";"2021-2025";"Multidisciplinary (Q1)";"Multidisciplinary"
64;21100466864;"Journal for ImmunoTherapy of Cancer";journal;"20511426";"BMJ Publishing Group";Yes;No;4,220;Q1;136;471;1524;20875;14439;1494;9,10;44,32;43,23;0;430;United Kingdom;Western Europe;"BMJ Publishing Group";"2013-2025";"Cancer Research (Q1); Immunology (Q1); Immunology and Allergy (Q1); Molecular Medicine (Q1); Oncology (Q1); Pharmacology (Q1)";"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics"
65;21100455629;"Military Medical Research";journal;"20549369, 20957467";"BioMed Central Ltd";Yes;Yes;4,206;Q1;53;82;206;9291;3330;160;17,83;113,30;35,53;0;27;United Kingdom;Western Europe;"BioMed Central Ltd";"2014-2025";"Medicine (miscellaneous) (Q1)";"Medicine"
66;21101012669;"npj Digital Medicine";journal;"23986352";"Nature Publishing Group";Yes;No;4,164;Q1;104;370;588;18345;9141;517;14,67;49,58;37,67;9;96;United Kingdom;Western Europe;"Nature Publishing Group";"2018-2025";"Computer Science Applications (Q1); Health Informatics (Q1); Health Information Management (Q1); Medicine (miscellaneous) (Q1)";"Computer Science; Health Professions; Medicine"
67;21101042161;"Environmental Science and Ecotechnology";journal;"26664984";"Elsevier B.V.";Yes;No;4,161;Q1;44;152;122;11475;2462;114;18,87;75,49;35,68;2;105;China;Asiatic Region;"Elsevier B.V.";"2020-2025";"Ecology (Q1); Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1)";"Environmental Science"
68;21100401152;"Microbiome";journal;"20492618";"BioMed Central Ltd";Yes;No;4,117;Q1;163;264;725;19636;10560;708;12,09;74,38;43,64;1;91;United Kingdom;Western Europe;"BioMed Central Ltd";"2013-2025";"Microbiology (Q1); Microbiology (medical) (Q1)";"Immunology and Microbiology; Medicine"
69;21100887442;"Forum of Mathematics, Pi";journal;"20505086";"Cambridge University Press";Yes;No;4,116;Q1;23;26;68;1278;214;68;2,96;49,15;10,45;0;0;United Kingdom;Western Europe;"Cambridge University Press";"2013-2025";"Algebra and Number Theory (Q1); Analysis (Q1); Discrete Mathematics and Combinatorics (Q1); Geometry and Topology (Q1); Mathematical Physics (Q1); Statistics and Probability (Q1)";"Mathematics"
70;21101053562;"The Lancet Regional Health - Europe";journal;"26667762";"Elsevier Ltd";Yes;No;4,088;Q1;55;317;714;9435;5183;402;7,31;29,76;49,40;13;168;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2025";"Health Policy (Q1); Internal Medicine (Q1); Oncology (Q1); Public Health, Environmental and Occupational Health (Q1)";"Medicine"
71;12216;"Molecular Biology and Evolution";journal;"15371719, 07374038";"Oxford University Press";Yes;No;4,085;Q1;256;264;1047;20827;12207;1032;5,04;78,89;36,89;1;51;United Kingdom;Western Europe;"Oxford University Press";"1983-2025";"Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Molecular Biology (Q1)";"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
72;21100854881;"Bioactive Materials";journal;"2452199X";"KeAi Communications Co.";Yes;No;4,075;Q1;119;431;1191;39818;25220;1187;20,82;92,39;38,85;0;120;Netherlands;Western Europe;"KeAi Communications Co.";"2016-2025";"Biomaterials (Q1); Biomedical Engineering (Q1); Biotechnology (Q1)";"Biochemistry, Genetics and Molecular Biology; Engineering; Materials Science"
73;21100284918;"Earth System Science Data";journal;"18663516, 18663508";"Copernicus Publications";Yes;No;4,066;Q1;113;249;822;18426;11205;142;11,22;74,00;36,08;6;105;Germany;Western Europe;"Copernicus Publications";"2009-2025";"Earth and Planetary Sciences (miscellaneous) (Q1)";"Earth and Planetary Sciences"
